               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056791,            0.023157,             0.02666,             0.60063,             0.71267,             0.67333,             0.38875,            0.031179,           0.0073392,            0.011153,            0.070144,           0.0033174,           0.0033174
                   1,            0.039252,            0.016472,            0.012453,             0.76396,             0.80285,             0.83801,             0.53422,             0.02803,           0.0064687,            0.006755,            0.040012,            0.006519,            0.006519
                   2,            0.034212,            0.015091,            0.010055,             0.67268,              0.6882,             0.71204,             0.44268,            0.029531,           0.0074928,           0.0086433,           0.0097482,           0.0095887,           0.0095887
                   3,            0.031613,             0.01499,           0.0099046,             0.77257,             0.78404,             0.82624,              0.5515,            0.026479,           0.0066859,           0.0069106,            0.009406,            0.009406,            0.009406
                   4,            0.029842,            0.014509,           0.0091911,             0.78674,             0.80681,             0.85773,             0.58498,             0.02484,           0.0064472,           0.0065219,            0.009406,            0.009406,            0.009406
                   5,            0.028695,            0.014424,           0.0088171,             0.79959,             0.81193,              0.8673,             0.59875,            0.024253,           0.0064752,           0.0064524,            0.009208,            0.009208,            0.009208
                   6,            0.027862,            0.014161,           0.0082778,             0.79124,             0.82746,             0.86662,             0.61483,            0.023082,           0.0061922,           0.0059692,             0.00901,             0.00901,             0.00901
                   7,            0.027244,            0.014015,           0.0082176,             0.82304,             0.84275,             0.88227,             0.62997,            0.023271,           0.0058313,           0.0062214,            0.008812,            0.008812,            0.008812
                   8,            0.026843,             0.01376,           0.0080039,             0.80108,             0.81236,             0.85493,             0.59749,            0.024214,           0.0063931,           0.0062715,            0.008614,            0.008614,            0.008614
                   9,            0.026543,             0.01369,           0.0078946,             0.78373,             0.69839,             0.76729,             0.51025,            0.025907,           0.0071857,           0.0064765,            0.008416,            0.008416,            0.008416
                  10,            0.026005,            0.013548,           0.0076569,             0.85497,             0.87409,             0.91978,              0.6854,            0.020915,           0.0053502,           0.0061622,            0.008218,            0.008218,            0.008218
                  11,             0.02562,            0.013476,           0.0074229,             0.85397,             0.88236,             0.91516,             0.68633,            0.020887,           0.0053973,           0.0059777,             0.00802,             0.00802,             0.00802
                  12,            0.025446,            0.013413,           0.0076792,             0.85036,             0.86259,             0.91059,             0.68356,            0.019907,           0.0055406,           0.0052079,            0.007822,            0.007822,            0.007822
                  13,            0.025398,            0.013238,           0.0074078,             0.85526,               0.875,             0.91332,              0.6869,            0.021151,           0.0054388,           0.0053971,            0.007624,            0.007624,            0.007624
                  14,            0.025019,            0.013355,           0.0072998,             0.86003,             0.88545,             0.92635,             0.70514,            0.019913,           0.0051886,           0.0062975,            0.007426,            0.007426,            0.007426
                  15,            0.024992,            0.013192,           0.0071276,             0.88092,             0.89254,             0.93762,             0.72592,            0.019564,           0.0050123,           0.0048054,            0.007228,            0.007228,            0.007228
                  16,            0.024625,            0.013068,           0.0069619,              0.8705,             0.87467,             0.92697,             0.71283,            0.020269,           0.0052887,           0.0059931,             0.00703,             0.00703,             0.00703
                  17,            0.024451,             0.01312,           0.0070033,             0.87644,             0.88187,             0.92828,              0.7139,            0.020086,           0.0050838,           0.0048076,            0.006832,            0.006832,            0.006832
                  18,            0.024227,             0.01292,           0.0068556,             0.86021,             0.87393,             0.92202,             0.71328,            0.019913,           0.0051335,           0.0053915,            0.006634,            0.006634,            0.006634
                  19,            0.023896,            0.012908,           0.0065904,             0.88087,             0.89117,             0.93498,              0.7308,            0.019226,           0.0049411,           0.0048761,            0.006436,            0.006436,            0.006436
                  20,            0.023802,            0.012833,           0.0068269,             0.87938,             0.89788,             0.93475,             0.72636,            0.019108,           0.0048824,           0.0051159,            0.006238,            0.006238,            0.006238
                  21,            0.023693,            0.012798,           0.0067026,              0.8946,              0.8922,             0.93921,             0.73694,            0.019219,           0.0048826,           0.0047389,             0.00604,             0.00604,             0.00604
                  22,            0.023503,            0.012662,           0.0064955,              0.8899,             0.90141,             0.94064,             0.74361,            0.018677,           0.0048488,           0.0046158,            0.005842,            0.005842,            0.005842
                  23,            0.023383,            0.012566,           0.0064955,             0.89033,             0.90568,             0.94279,             0.74559,            0.018505,           0.0047407,           0.0052355,            0.005644,            0.005644,            0.005644
                  24,            0.023218,            0.012493,           0.0065412,             0.89814,             0.89973,             0.94658,             0.75123,            0.018628,           0.0047285,           0.0047659,            0.005446,            0.005446,            0.005446
                  25,            0.023049,            0.012527,           0.0063588,             0.89626,             0.89944,             0.94319,             0.74921,            0.018383,            0.004697,           0.0047365,            0.005248,            0.005248,            0.005248
                  26,            0.022917,            0.012449,           0.0064328,             0.89793,              0.9056,             0.94427,             0.75268,            0.018436,           0.0046918,           0.0048338,             0.00505,             0.00505,             0.00505
                  27,            0.022631,            0.012449,           0.0061926,             0.90014,             0.90934,             0.94914,             0.75459,            0.018585,           0.0046783,           0.0045077,            0.004852,            0.004852,            0.004852
                  28,            0.022555,            0.012423,           0.0061247,             0.89848,             0.90926,             0.94796,             0.75822,            0.018382,           0.0046365,           0.0050682,            0.004654,            0.004654,            0.004654
                  29,            0.022423,            0.012305,           0.0061575,             0.91139,             0.90681,             0.95189,             0.76574,              0.0181,             0.00455,           0.0051324,            0.004456,            0.004456,            0.004456
                  30,            0.022171,            0.012172,           0.0058841,             0.90379,             0.90947,              0.9488,             0.76235,            0.018197,           0.0045574,           0.0052692,            0.004258,            0.004258,            0.004258
                  31,            0.021989,            0.012168,           0.0059666,             0.90487,             0.90934,             0.95038,             0.76854,            0.017624,           0.0044887,           0.0049896,             0.00406,             0.00406,             0.00406
                  32,            0.021861,            0.012089,           0.0059729,             0.90554,             0.91653,             0.95521,             0.77511,            0.017431,            0.004456,           0.0048667,            0.003862,            0.003862,            0.003862
                  33,            0.021667,            0.012031,           0.0057915,             0.90827,             0.91313,             0.95271,             0.77159,            0.017318,           0.0044581,            0.004778,            0.003664,            0.003664,            0.003664
                  34,            0.021523,            0.011882,           0.0057635,             0.90606,             0.91314,             0.95433,             0.77493,            0.017295,           0.0044265,           0.0050155,            0.003466,            0.003466,            0.003466
                  35,            0.021212,            0.011892,           0.0056958,              0.9155,             0.91574,             0.95628,             0.77868,            0.017524,            0.004404,           0.0052006,            0.003268,            0.003268,            0.003268
                  36,            0.021193,            0.011917,           0.0057488,             0.91684,             0.91459,             0.95637,             0.77937,            0.017352,           0.0043528,           0.0045922,             0.00307,             0.00307,             0.00307
