               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055554,            0.022377,             0.02585,             0.63315,              0.7167,              0.7034,             0.38222,             0.03106,           0.0073164,            0.010456,            0.070128,           0.0033191,           0.0033191
                   1,            0.038339,            0.015752,            0.011902,             0.75468,             0.81132,             0.85185,             0.51838,            0.028171,           0.0062373,           0.0069909,            0.040018,           0.0065427,           0.0065427
                   2,            0.033795,            0.014448,            0.009651,             0.74684,             0.78596,             0.81136,             0.52616,             0.02692,           0.0067359,           0.0073312,           0.0097987,           0.0096562,           0.0096562
                   3,            0.031244,            0.014515,           0.0096214,             0.58799,              0.6239,             0.64159,             0.37412,            0.029995,           0.0085903,            0.011408,            0.009505,            0.009505,            0.009505
                   4,            0.029811,            0.014146,            0.008992,             0.53391,             0.43822,             0.43641,             0.24104,            0.036362,            0.010107,            0.013057,            0.009505,            0.009505,            0.009505
                   5,             0.02848,            0.013811,           0.0085026,              0.7546,             0.76187,             0.79475,             0.53272,            0.025445,           0.0066696,           0.0067689,             0.00934,             0.00934,             0.00934
                   6,            0.027436,            0.013622,           0.0080758,             0.78715,             0.81106,              0.8425,              0.5881,            0.023772,           0.0065079,           0.0049752,            0.009175,            0.009175,            0.009175
                   7,            0.027313,            0.013482,           0.0080118,             0.81816,             0.85423,             0.89682,              0.6465,            0.023135,           0.0061272,           0.0049989,             0.00901,             0.00901,             0.00901
                   8,            0.026737,            0.013272,           0.0077672,             0.80626,             0.81774,             0.85553,             0.59051,            0.023588,           0.0066454,           0.0051949,            0.008845,            0.008845,            0.008845
                   9,            0.026349,            0.013191,           0.0076577,             0.83141,             0.86289,             0.89919,             0.67041,            0.021815,           0.0057891,           0.0050631,             0.00868,             0.00868,             0.00868
                  10,            0.025972,            0.013108,           0.0073228,             0.83534,             0.87079,             0.90455,             0.67046,            0.021831,           0.0057389,            0.004445,            0.008515,            0.008515,            0.008515
                  11,            0.025744,            0.013052,           0.0074082,             0.86271,             0.87399,             0.91527,             0.68773,            0.021359,           0.0055064,           0.0052486,             0.00835,             0.00835,             0.00835
                  12,            0.025556,            0.012889,           0.0072006,             0.84291,             0.86828,              0.9041,             0.67988,            0.020489,           0.0054112,           0.0046342,            0.008185,            0.008185,            0.008185
                  13,            0.025195,            0.012821,           0.0070015,             0.85154,             0.86378,             0.90911,             0.68269,            0.020367,           0.0055041,           0.0052746,             0.00802,             0.00802,             0.00802
                  14,            0.025122,            0.012775,           0.0072397,             0.86642,             0.87187,             0.91977,             0.70492,            0.020271,           0.0052771,           0.0045294,            0.007855,            0.007855,            0.007855
                  15,            0.024797,            0.012666,            0.006816,              0.8513,             0.88013,             0.91677,             0.70237,            0.020114,           0.0053098,           0.0045137,             0.00769,             0.00769,             0.00769
                  16,            0.024485,            0.012568,           0.0067725,             0.85947,             0.87012,             0.91626,             0.68921,            0.021249,           0.0055034,           0.0039669,            0.007525,            0.007525,            0.007525
                  17,            0.024243,            0.012489,            0.006708,             0.85697,             0.88539,             0.92566,             0.71684,            0.019435,           0.0051831,            0.004552,             0.00736,             0.00736,             0.00736
                  18,             0.02411,            0.012462,            0.006663,             0.86916,             0.88239,             0.92737,             0.72245,             0.01985,           0.0052633,           0.0044891,            0.007195,            0.007195,            0.007195
                  19,            0.024126,            0.012463,           0.0067893,               0.871,             0.89506,             0.93048,             0.72623,            0.019686,           0.0050948,           0.0040727,             0.00703,             0.00703,             0.00703
                  20,            0.023912,            0.012356,           0.0065407,             0.87898,              0.8926,             0.93118,             0.72869,            0.019341,           0.0050375,           0.0046141,            0.006865,            0.006865,            0.006865
                  21,            0.023862,            0.012289,           0.0066834,             0.88183,             0.89708,             0.93685,             0.73149,            0.019507,           0.0050148,           0.0049056,              0.0067,              0.0067,              0.0067
                  22,            0.023536,            0.012237,           0.0065392,              0.8851,             0.89377,             0.93126,               0.733,            0.019404,           0.0049335,           0.0046801,            0.006535,            0.006535,            0.006535
                  23,            0.023458,            0.012231,           0.0063944,             0.88472,             0.90166,             0.93973,             0.74413,            0.019127,           0.0049586,           0.0047148,             0.00637,             0.00637,             0.00637
