               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01661,            0.013636,             0.01617,             0.96961,             0.97285,             0.97767,              0.8449,           0.0066669,           0.0028031,          0.00018033,            0.070385,           0.0032906,           0.0032906
                   1,            0.016446,           0.0085835,          0.00098338,              0.9796,             0.97598,             0.98076,             0.81291,            0.008542,           0.0027904,          0.00033444,            0.039073,           0.0053124,           0.0053124
                   2,            0.018497,           0.0081227,           0.0010967,             0.92667,             0.89902,             0.93979,             0.56974,            0.012884,           0.0053777,          0.00074049,           0.0064415,           0.0060142,           0.0060142
                   3,            0.015406,           0.0079695,          0.00075014,             0.97539,             0.96951,             0.98486,             0.80599,           0.0083204,           0.0028798,          0.00032598,             0.00406,             0.00406,             0.00406
                   4,            0.015267,           0.0074961,          0.00061692,             0.97775,              0.9825,              0.9873,             0.87225,           0.0067736,           0.0026247,          0.00030237,             0.00406,             0.00406,             0.00406
