               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066256,            0.025255,            0.030946,             0.35642,             0.53859,             0.37757,             0.15298,            0.036399,           0.0077487,            0.015102,             0.07024,           0.0033067,           0.0033067
                   1,            0.043761,            0.018324,            0.015547,             0.55605,             0.55346,             0.55578,             0.30715,             0.03056,           0.0074353,            0.011224,            0.038925,           0.0053253,           0.0053253
                   2,            0.037891,            0.016058,            0.011437,             0.64373,             0.71515,             0.71646,             0.42887,             0.02991,           0.0073418,           0.0066995,           0.0062906,           0.0060239,           0.0060239
                   3,            0.033205,             0.01542,            0.010164,             0.66672,             0.73973,             0.75403,             0.48423,            0.025098,           0.0070295,           0.0070893,             0.00406,             0.00406,             0.00406
                   4,            0.031478,            0.014927,           0.0088819,             0.70753,             0.77075,             0.81524,             0.55809,            0.023513,           0.0064534,           0.0043076,             0.00406,             0.00406,             0.00406
